Iteration,F1-Score,Accuracy,Specificity,Recall,Precision
1,0.5496137142181396,0.9852299094200134,0.9959211349487305,0.4675755202770233,0.701111376285553
2,0.5489460825920105,0.9852218627929688,0.9962399005889893,0.45203351974487305,0.7107270359992981
3,0.5444904565811157,0.9851678013801575,0.9962979555130005,0.44632095098495483,0.7114001512527466
4,0.5238274931907654,0.985018253326416,0.9968468546867371,0.41209208965301514,0.7275928854942322
5,0.5096650123596191,0.984935998916626,0.9971026182174683,0.39555418491363525,0.73612380027771
