Epoch,Train Loss,Train Unlabel Loss,Train Consistency Loss,Validation Loss
1,0.34752075950945577,0.10516195692695104,0.00442428753281442,0.454258198539416
2,0.27063625474129954,0.0905436505491917,0.003226379446613674,0.44249751998318565
3,0.25837825296386596,0.08222768518787164,0.004675647347735671,0.4059046291642719
4,0.2424888059977562,0.07582144066691399,0.004776235802385669,0.3818762070602841
5,0.2347888639857692,0.07905048114749101,0.0049234176162057195,0.4141450242863761
6,0.23438107505921393,0.07189959780527995,0.005372478569356295,0.3847060584359699
7,0.22762974068041772,0.06872324496507645,0.005375255085527897,0.37501616610421074
8,0.22181565530838504,0.06615451247646259,0.006032737666884294,0.41350824468665653
9,0.2207379586273624,0.059635195479943205,0.005435271020262287,0.36947864707973266
10,0.21642894091144685,0.05959813061815042,0.005505383985403639,0.3735591156615151
11,0.21406015715291424,0.055349277876890625,0.005649053803286873,0.3341251669658555
12,0.2090244387426684,0.05454892857143512,0.005525069973933009,0.347005201710595
13,0.20839452060960953,0.05222089912455816,0.005727738904981659,0.3308119484119945
14,0.20706157011370505,0.053893506039793676,0.005455913115292787,0.3444768471850289
15,0.2070281385414062,0.0481767630061278,0.005915243092637796,0.33635644531912273
16,0.2024121388312309,0.04863139339364492,0.005864059896423267,0.3484240240520901
17,0.20425353819324124,0.04479816217835133,0.005772843290693485,0.31759825100501377
18,0.2022544244604726,0.047203951988082665,0.00585838660526161,0.3602984646956126
19,0.19996768909115945,0.04304421400794616,0.005898741972990907,0.31927740739451516
20,0.19871535810732072,0.04459412264136168,0.005455342268284697,0.32645027173890007
21,0.1983637858783045,0.04285929644337067,0.005169979035137938,0.3218684113687939
22,0.1960835034808805,0.04312639975777039,0.005379392826356567,0.3488578183783425
23,0.19518607114591907,0.041549927884569536,0.0056653169019577595,0.34205006890826756
24,0.19378533670979162,0.04105420155593982,0.005214784964202688,0.31857969446314705
25,0.1954156224766085,0.03876960638623971,0.005143426509144214,0.3268516543838713
26,0.1925182641513886,0.0400791777154574,0.00512640829771184,0.3468531461225616
27,0.19154173328030494,0.038341423926445156,0.0054303381592035295,0.3323100316855643
28,0.19192769546662608,0.03858193944279964,0.004997691823742711,0.3152594077918265
29,0.19159599840641023,0.03630881690635131,0.0048695277315206256,0.2995682607094447
30,0.1886464290080532,0.03699767953501298,0.004988863122148009,0.32245734582344693
31,0.18875308834737348,0.03578178825286719,0.005107938920935759,0.28456206536955303
32,0.18966251313686372,0.03812251033691259,0.004720253676462632,0.3064374211761687
33,0.18777421145669876,0.05496182496157976,0.005013727805075737,0.3854711941546864
34,0.20554919560109416,0.03844725930920014,0.005300257466017054,0.3357652491993374
35,0.19146638733725393,0.037403639062092854,0.004863836720155982,0.31331203712357414
36,0.18826997357030067,0.035671179168499434,0.004766590936252704,0.30064111865229076
37,0.18653792162095348,0.03549988132256728,0.004874132039885108,0.3115842441717784
38,0.18554534739063633,0.033020405671917476,0.004508154445256179,0.3275091577735212
39,0.1853618541071492,0.03431958286808087,0.0047134255847105615,0.3660133224394586
40,0.1885767941513369,0.03450637312176136,0.004657693773221511,0.31892190542485976
41,0.1859322743069741,0.03189366800853839,0.004642876724784191,0.32187924948003555
42,0.18317144974585503,0.032599095111856095,0.004450233459759217,0.31316813909345204
43,0.18410243738082147,0.032666643880880794,0.004554760756974037,0.2964213672611449
44,0.18187439201339597,0.03374015938204068,0.004729652924176592,0.2965787922342618
45,0.18369723212334418,0.030867491691158367,0.00467958482555472,0.29023146877686185
46,0.18205715437089243,0.03460083861763661,0.004647551681129979,0.28483487914005917
47,0.1825943220046259,0.0322360649991494,0.004447319587835899,0.33550771491395104
48,0.18199525062114963,0.03021479810659702,0.004378342897129747,0.2967999436789089
49,0.18192783257653636,0.030719821269695576,0.004535033374738234,0.3017936564154095
50,0.18059412202527447,0.030029815062880515,0.004406452010600612,0.3069360889494419
51,0.1811386989008996,0.02892988031873336,0.00437956559471786,0.2925683582822482
52,0.18020230377874066,0.028879936727193686,0.004276602518243285,0.31204545746246976
53,0.18277143220747671,0.028476337572702994,0.004384182006693803,0.3082707499464353
54,0.18019241479135328,0.029528863527453864,0.00424052092533272,0.30303573691182667
55,0.1783195491760008,0.02958139920463929,0.004328595073177264,0.29474819120433593
56,0.17842505516544466,0.027655669402044555,0.004293176839844539,0.2958022985193465
57,0.17818609639521568,0.029382365025006806,0.004253663068923812,0.317410372197628
58,0.17971932272757254,0.03277406691072079,0.004416936772087446,0.3166597518655989
59,0.17834092224797896,0.027333517000079154,0.004350939106482726,0.3133946226702796
60,0.17603600996155894,0.026268013208531418,0.0043315650931058025,0.32912851207786137
61,0.17516598364999217,0.027019872802954453,0.004216060397000267,0.3053297847509384
62,0.17529201690227755,0.026152153685688972,0.004359275149181485,0.3077092965443929
63,0.1741757285210394,0.02580452714688503,0.004249579162121965,0.30690792120165294
64,0.17611284140617617,0.02557591854666288,0.004168569790915801,0.2915203558901946
65,0.17322485418088973,0.025702428130003122,0.004182823041740519,0.3017605377568139
66,0.17260210023772332,0.025455891942748658,0.00407031369753755,0.31496597329775494
67,0.17377516733061882,0.02888512281844249,0.00417551023599047,0.3278505355119705
68,0.179945699245699,0.02709769317163871,0.0044210007127660975,0.2949252666698562
69,0.17616805520749862,0.02873099523668106,0.00440246956422925,0.30799028774102527
70,0.17406896929587087,0.024863873278865446,0.004114290613394517,0.31775491684675217
71,0.17082823755279664,0.02607544482900546,0.004102741815866186,0.30067966050571865
72,0.1703265688111705,0.025307981440654166,0.004360913327680184,0.30835363351636463
73,0.17083650952385318,0.023013695487036155,0.0043630519989304815,0.2983705575267474
74,0.1700887235902971,0.024073865551214952,0.0042271418998447744,0.29919954637686413
75,0.16930217617942442,0.02407421343601667,0.0041993765644012734,0.29580719851785237
76,0.16896037507441736,0.025630552651217352,0.004245194789165488,0.3292576273282369
77,0.16950719433446085,0.02543564675232539,0.004197130502703098,0.2999088449610604
78,0.16825156673308342,0.022882319084153724,0.004011417762376368,0.28270190457503
79,0.16761765835746642,0.022615407650860456,0.004154017044661137,0.29068296485477024
