Epoch,Train Loss,Train Unlabel Loss,Validation Loss
1,0.6096847877986189,1.3960574773641734,0.6253312771970575
2,0.44286119232431126,0.5658844021650461,0.5203427049246702
3,0.35433169997832625,0.30394597351551056,0.4991915993618243
4,0.30413412435907095,0.245745355120072,0.514064857454011
5,0.28742898144007883,0.23305356273284325,0.4677245770439957
6,0.26943967034275407,0.1979465943116408,0.47455578410264215
7,0.26230848778561117,0.19161430517068276,0.4560241988210967
8,0.25382330193035846,0.14788376138760492,0.4342770847407254
9,0.23984598667149382,0.13866911828517914,0.4292075430805033
10,0.24036829519099084,0.12144849850581242,0.3837867099227327
11,0.22458599349438857,0.11447817774919364,0.3646427289103017
12,0.22355842763099118,0.10306608161100975,0.36497334052215924
13,0.22017013947456932,0.08431431077993833,0.33192836786761426
14,0.21445549254256172,0.09056683515126888,0.35081977419780963
15,0.21151583278236757,0.07315058891589825,0.31009842094146844
16,0.20714003013239968,0.06158732966734813,0.34884130909587396
17,0.20814870045956782,0.07444029014844161,0.29845007441260596
18,0.20328440923909635,0.06879366361177884,0.34259238252134033
19,0.20410037004717307,0.0679627565237192,0.34250578013333405
20,0.20277059682901355,0.054616282908962324,0.34035139734094794
21,0.19927886200411885,0.046073719286001645,0.3071693218115604
22,0.19910986246406168,0.04619176571185772,0.30002190669377643
23,0.19796287279198135,0.052000244362996176,0.3059169275291038
24,0.195599352751953,0.046422237960191876,0.2948339026082646
25,0.19438693783997338,0.04184826764349754,0.2822257388721813
26,0.19399484574506823,0.036616744903417736,0.27832763529185095
27,0.19328161138267333,0.038989872026901976,0.30471626782056055
28,0.19159703518169513,0.05042769960485972,0.306461591612209
29,0.19254469893116882,0.04436717325678238,0.29497210184733075
30,0.1913963437512301,0.041517867061954275,0.28304105003674823
31,0.1916503254774112,0.04690945005187622,0.28431032146468305
32,0.18882629361705502,0.025717549169292815,0.25921044950232364
33,0.18713432233690638,0.037649392508543454,0.28330008234038495
34,0.1891810069769477,0.029475251212716103,0.27718945570064313
35,0.18764571435209634,0.04160936549305916,0.2826175879348408
36,0.1891903085409155,0.04081934246306236,0.29458428332299896
37,0.18728531213198307,0.03362327785446094,0.27112019287817407
38,0.18595536571481955,0.03268100278308758,0.2736435830593109
39,0.1880391681395867,0.024440802777042754,0.2574359526236852
40,0.1862776519883658,0.033958540083124086,0.28278397768735886
41,0.18719431102851739,0.025478459034974758,0.24509879404848273
42,0.18387875349625296,0.03612982166501192,0.25751777986685437
43,0.18364187974284812,0.030577255986057796,0.27275639004779584
44,0.1836442722790483,0.0315641169078075,0.28250871327790344
45,0.18239210272468806,0.025394673817432843,0.2586292787031694
