Iteration,F1-Score,Accuracy,Specificity,Recall,Precision
1,0.4821956157684326,0.995481014251709,0.9967936277389526,0.6421405673027039,0.4511846601963043
2,0.6044638156890869,0.9972640872001648,0.9986324310302734,0.6330869197845459,0.6271957755088806
3,0.5887942910194397,0.9971358180046082,0.998587429523468,0.6138828992843628,0.626759946346283
4,0.6097312569618225,0.9974238276481628,0.998921811580658,0.5997008085250854,0.6787518858909607
5,0.6062352657318115,0.9972954988479614,0.9987388849258423,0.6162092089653015,0.6483449339866638
