Epoch,Train Loss,Validation Loss
1,0.34224838822075493,0.29205564291853653
2,0.25482118305530443,0.256041976966356
3,0.2470122135422203,0.2530111843033841
4,0.23570998716220426,0.2415209577271813
5,0.22843178981140758,0.2510614818648288
6,0.22987482880943277,0.24329565700731778
7,0.22020568983273558,0.2187509254405373
8,0.21502796393097118,0.23680765769983592
9,0.21220345343096872,0.22321782300346776
10,0.21086932367153383,0.22267297537703262
11,0.20915961047906553,0.25400808296705546
12,0.20955343921197933,0.25135011970996857
13,0.20326767451642605,0.2026465190084357
14,0.20307393246487285,0.23717532346123144
15,0.19959299006823744,0.21694686616721906
16,0.19665730200456769,0.24136083298607877
17,0.1981853059168612,0.227789033400385
18,0.19567170981945617,0.19973898404522947
19,0.19618447284015378,0.19598072453549034
20,0.19351799744233655,0.1939477536239122
21,0.19139309445123995,0.20503566688612887
22,0.1918039212233565,0.20477561966369026
23,0.1908589858519897,0.19932451530506737
24,0.18860358920659911,0.20686354919483788
25,0.18831522946947077,0.19910860296927
26,0.1875692503003592,0.20937654846592954
27,0.1870464225498478,0.21076774518740804
28,0.1854098356339369,0.23548881474294162
29,0.18499343775296478,0.18967262459428688
30,0.18588397710510854,0.19313098411811025
31,0.18594545335247276,0.20611551247145
32,0.18510862213841986,0.18529645549623588
33,0.18361466260773412,0.19122953712940216
34,0.1823064039429922,0.19382572644635251
35,0.1836436225959424,0.19104923386322825
36,0.18299127880776866,0.20980641873259293
37,0.18327106585663355,0.2638788999695527
38,0.19076293983151404,0.18526724529893776
39,0.1817348390985071,0.19054452447514786
40,0.17913010875495633,0.1844325630288375
41,0.1810313747839981,0.18269160860463193
42,0.17891141069069338,0.18284349692495247
43,0.1790768498282754,0.19009079195951162
44,0.17713856152938992,0.18232794576569608
45,0.1769531047746037,0.20848932234864487
46,0.18128667076986826,0.18843643445717662
47,0.17871824543127854,0.1966459947197061
48,0.17680854442414273,0.19293711765816338
49,0.17816894041018538,0.18183349386641853
50,0.17517844269449792,0.19457447764120603
51,0.17774092071176914,0.18684031304560209
52,0.17604683724681983,0.18057421163508766
53,0.17547412174806165,0.1839062351929514
54,0.1751654835396938,0.19151934510783145
55,0.17589117938213134,0.19521174148509376
56,0.17521897033694084,0.18563313782215118
57,0.17360869389069214,0.1765245834463521
58,0.1723137798436572,0.20185306511427226
59,0.17301286229591692,0.18021945420064425
60,0.17132349362534083,0.17631371789856962
61,0.17255667027797592,0.17846078386432246
62,0.17608896894066522,0.2081714452881562
63,0.17082323184174097,0.2359688501608999
64,0.17076402425431134,0.17488120731554532
65,0.17038671036114852,0.20483977622107455
66,0.17293325677681504,0.17626626162152542
