Iteration,F1-Score,Accuracy,Specificity,Recall,Precision
1,0.5897784233093262,0.9972204566001892,0.998725414276123,0.5935620069503784,0.6410443186759949
2,0.6101582646369934,0.9976575374603271,0.9993631839752197,0.5430792570114136,0.7575774788856506
3,0.6117773652076721,0.9975973963737488,0.9992234706878662,0.5653687119483948,0.7280369997024536
4,0.6191005110740662,0.9976740479469299,0.9993138313293457,0.5645412802696228,0.7513660192489624
5,0.6217929124832153,0.9976837038993835,0.9993171691894531,0.5643191337585449,0.7482970356941223
