Iteration,F1-Score,Accuracy,Specificity,Recall,Precision
1,0.5885605812072754,0.9972012639045715,0.9987058043479919,0.5935959815979004,0.6385038495063782
2,0.6348046660423279,0.9976744055747986,0.9992104768753052,0.5906809568405151,0.7281780242919922
3,0.642102062702179,0.9977221488952637,0.9992414116859436,0.5947756171226501,0.7363043427467346
4,0.6474095582962036,0.9977620244026184,0.9992637634277344,0.6011444926261902,0.7429212927818298
5,0.6428255438804626,0.9977334141731262,0.9992656707763672,0.5912336111068726,0.7412402033805847
